,0
p_1,-24.642863372869506
p_2,-26.757435899295224
p_3,-26.885068134323998
p_1,-26.031480001229102
p_2,-25.107534380098762
p_3,-25.71656925831555
p_1,-25.902440037829678
p_2,-27.043502842629575
p_3,-24.910646330286667
p_1,-26.405806060903224
p_2,-26.422838417484652
p_3,-25.050943250266776
0,-25.3810038102655
